dataset,tag,arm,model,regime,medae,hit3,hit3_lo,bin_floor,smooth_floor,R12,R12_bin_floor,R12_smooth_floor,R23,R23_lo,R23_bin_floor,R23_smooth_floor,R13_smooth_floor,hit1_smooth_floor,excess_bin,excess_smooth,R23_excess_smooth,R12_excess_smooth
freesolv,luna,reg,GPT-5.6 luna,untestable,1.085,0.7812,0.0,0.3025,0.4622,16.092,10.1431,14.218,21.4286,0.0,12.8021,11.1635,1.5872,29.1224,2.5825,1.69,1.9195,1.1318
freesolv,luna,t1024,GPT-5.6 luna,partial,0.67,2.0833,0.7812,0.8583,0.7578,24.0506,13.1836,16.1306,21.0526,8.3333,15.5341,11.7933,1.9023,39.8359,2.4272,2.7491,1.7851,1.491
freesolv,minimaxm3,reg,MiniMax M3,partial,0.87,2.8721,1.3055,0.706,0.5365,26.2712,15.0904,14.8219,35.4839,19.2308,14.7859,10.6902,1.5845,33.8568,4.0681,5.3538,3.3193,1.7725
freesolv,minimaxm3,t1024,MiniMax M3,heavy,0.67,6.1662,4.0147,0.6646,0.7422,33.8462,14.9735,16.3822,52.2727,36.5854,13.0303,11.4,1.8676,39.7409,9.2781,8.3081,4.5853,2.066
freesolv,mistrall,reg,Mistral Large 2512,partial,0.83,1.8229,0.7812,0.5232,0.6211,15.625,11.6461,15.3719,35.0,14.2857,14.075,11.6569,1.7919,34.6615,3.4841,2.935,3.0025,1.0165
freesolv,mistrall,t1024,Mistral Large 2512,heavy,0.815,1.8229,0.5208,0.4467,0.6315,16.0,12.1506,15.5829,35.0,13.6288,11.8576,11.4793,1.7888,35.3034,4.0808,2.8866,3.049,1.0268
freesolv,opus5,reg,Claude Opus 5,heavy,0.085,36.1979,31.5104,1.8449,5.3919,69.1057,20.9822,38.2452,81.7647,76.1905,15.9156,16.3656,6.2591,86.1458,19.6205,6.7134,4.9961,1.8069
freesolv,opus5,t1024,Claude Opus 5,heavy,0.02,40.3646,35.4167,1.8234,18.4479,69.338,20.2179,72.758,77.8894,71.5736,14.0872,26.3238,19.1527,96.3203,22.137,2.188,2.9589,0.953
freesolv,opus5,t1024r,Claude Opus 5,heavy,0.02,40.3646,35.6706,1.7783,18.2721,70.0348,20.0739,72.3845,77.1144,71.287,13.5265,26.2079,18.9704,96.319,22.6984,2.2091,2.9424,0.9675
freesolv,qwen3,reg,Qwen3-235B,untestable,3.14,0.2604,0.0,0.1617,0.1393,12.5,11.0804,11.2089,25.0,0.0,16.6987,9.444,1.0586,13.1615,1.6104,1.869,2.6472,1.1152
freesolv,qwen3,t1024,Qwen3-235B,untestable,3.0215,0.2604,0.0,0.119,0.1758,18.5185,9.8717,11.6657,20.0,0.0,15.3885,11.2594,1.3135,13.3828,2.1882,1.4814,1.7763,1.5874
freesolv,sol,reg,GPT-5.6 sol,heavy,0.8,6.25,3.9062,0.8146,0.6758,30.0813,13.6163,15.4884,64.8649,48.7789,20.0595,12.2869,1.9031,35.5104,7.6725,9.2486,5.2792,1.9422
freesolv,sol,t1024,GPT-5.6 sol,heavy,0.28,14.8438,11.1979,1.9303,1.8021,38.5965,17.6534,21.9397,64.7727,54.0211,20.9462,13.0504,2.8632,62.9388,7.6899,8.237,4.9633,1.7592
