dataset,tag,hit3_lo,hit3_all_lo,R12_lo,R23_lo,m1_lo,m2_lo,m3_lo,n_usable_lo,regime_lo,verdict_lo,spearman_lo,medae_lo,think_lo,cost_lo,floor_R12_lo,floor_R23_lo,hit3_hi,hit3_all_hi,R12_hi,R23_hi,m1_hi,m2_hi,m3_hi,n_usable_hi,regime_hi,verdict_hi,spearman_hi,medae_hi,think_hi,cost_hi,floor_R12_hi,floor_R23_hi,model,d_hit3,d_R23,d_rho,d_medae,flag_lo,flag_hi,crossed
aqsoldb,sol,1.4925,1.4,15.0794,36.8421,126,19,7,469,trace,contaminated,0.8448,0.7278,0.0,0.263,12.139468,11.034906,7.2495,6.8,31.7708,55.7377,192,61,34,469,partial,contaminated,0.9049,0.4272,816.5,6.1416,12.139468,11.034906,GPT-5.6 sol,5.757000000000001,18.895599999999995,0.06010000000000004,-0.3006,True,True,False
aqsoldb,sonnet5,1.0661,1.0,16.9591,17.2414,171,29,5,469,clean,clean,0.8592,0.5573,0.0,0.2552,12.139468,11.034906,0.4264,0.4,10.0,12.5,160,16,2,469,clean,clean,0.8482,0.6184,0.0,0.3045,12.139468,11.034906,Claude Sonnet 5,-0.6397,-4.741399999999999,-0.01100000000000001,0.06109999999999993,False,False,False
aqsoldb,terra,0.4274,0.4008,16.2963,9.0909,135,22,2,468,clean,clean,0.8014,0.7917,0.0,0.0527,12.139468,11.034906,3.6247,3.4,25.1429,38.6364,175,44,17,469,partial,contaminated,0.899,0.53,936.5,1.4647,12.139468,11.034906,GPT-5.6 terra,3.1973,29.545500000000004,0.09760000000000002,-0.26169999999999993,False,True,True
bace,gem25pro,0.6329,0.6,15.7895,16.6667,114,18,3,474,clean,clean,0.2262,1.0282,932.0,2.4081,12.596369,24.377747,0.8439,0.8,15.3153,23.5294,111,17,4,474,clean,clean,0.2375,0.9444,785.5,2.0292,12.596369,24.377747,Gemini 2.5 Pro,0.21099999999999997,6.8627,0.011299999999999977,-0.08379999999999999,False,False,False
bace,gem31flashlite,0.6329,0.6,9.9291,21.4286,141,14,3,474,clean,clean,0.3905,0.9042,0.0,0.0137,12.596369,24.377747,0.4219,0.4,6.8376,25.0,117,8,2,474,clean,clean,0.3132,1.0232,866.0,0.3401,12.596369,24.377747,Gemini 3.1 Flash-Lite,-0.21100000000000002,3.5714000000000006,-0.07730000000000004,0.1190000000000001,False,False,False
bace,gem31pro,0.8439,0.8,10.5263,28.5714,133,14,4,474,clean,clean,0.4921,0.9347,253.0,0.8827,12.596369,24.377747,0.8439,0.8,8.209,36.3636,134,11,4,474,clean,clean,0.5466,0.9172,497.0,1.6526,12.596369,24.377747,Gemini 3.1 Pro,0.0,7.792199999999998,0.05449999999999999,-0.01749999999999996,False,False,False
bace,gem35flash,0.6329,0.6,11.6071,23.0769,112,13,3,474,clean,clean,0.2324,1.1215,0.0,0.0829,12.596369,24.377747,0.6329,0.6,10.0,17.6471,170,17,3,474,clean,clean,0.5853,0.6667,677.5,1.6616,12.596369,24.377747,Gemini 3.5 Flash,0.0,-5.4298,0.35290000000000005,-0.4548,False,False,False
bace,gem36flash,0.6329,0.6,13.1783,17.6471,129,17,3,474,clean,clean,0.3436,0.9607,0.0,0.0401,12.596369,24.377747,0.6329,0.6,9.4675,18.75,169,16,3,474,clean,clean,0.568,0.781,555.0,1.143,12.596369,24.377747,Gemini 3.6 Flash,0.0,1.1029000000000018,0.22439999999999993,-0.17969999999999997,False,False,False
bace,gem3flash,1.2658,1.2,14.0741,31.5789,135,19,6,474,clean,clean,0.3957,0.8857,0.0,0.0275,12.596369,24.377747,1.2658,1.2,10.9756,33.3333,164,18,6,474,clean,clean,0.5047,0.8215,857.0,0.6801,12.596369,24.377747,Gemini 3 Flash,0.0,1.7544000000000004,0.10900000000000004,-0.06420000000000003,False,False,False
bace,gpt41,0.211,0.2,6.8376,12.5,117,8,1,474,clean,clean,0.2101,1.0665,0.0,0.2148,12.596369,24.377747,0.0,0.0,9.7561,0.0,123,12,0,474,clean,clean,0.2744,1.0168,0.0,0.2148,12.596369,24.377747,GPT-4.1,-0.211,-12.5,0.06429999999999997,-0.04970000000000008,False,False,False
bace,gpt5,0.4219,0.4,6.5041,25.0,123,8,2,474,clean,clean,0.2535,0.9722,0.0,0.2287,12.596369,24.377747,0.211,0.2004,8.1081,16.6667,74,6,1,474,clean,clean,0.3793,1.6192,576.0,3.3103,12.596369,24.377747,GPT-5,-0.2109,-8.333300000000001,0.12580000000000002,0.647,False,False,False
bace,gpt55,0.4219,0.4,8.6957,16.6667,138,12,2,474,clean,clean,0.2461,0.9858,0.0,0.2998,12.596369,24.377747,0.6329,0.6,8.8608,42.8571,79,7,3,474,clean,clean,0.4982,1.342,516.0,4.9996,12.596369,24.377747,GPT-5.5,0.21100000000000002,26.190400000000004,0.2521,0.35620000000000007,False,False,False
bace,grok43,0.0,0.0,10.3093,0.0,97,10,0,474,clean,clean,0.0691,1.16,0.0,0.1176,12.596369,24.377747,1.0638,1.0081,12.5,50.0,80,10,5,470,clean,clean,0.1709,1.9151,1979.5,2.8669,12.596369,24.377747,Grok 4.3,1.0638,50.0,0.1018,0.7551000000000001,False,False,False
bace,grok45,0.8439,0.8,8.7302,36.3636,126,11,4,474,clean,clean,0.3621,0.8671,371.5,1.3824,12.596369,24.377747,0.4228,0.4008,10.1562,15.3846,128,13,2,473,clean,clean,0.3632,0.8947,1140.0,3.9708,12.596369,24.377747,Grok 4.5,-0.4211,-20.979,0.0011000000000000454,0.02760000000000007,False,False,False
bace,haiku45,0.8439,0.8,12.6866,23.5294,134,17,4,474,clean,clean,0.2879,0.9604,0.0,0.1519,12.596369,24.377747,0.4219,0.4,12.6984,25.0,63,8,2,474,clean,clean,0.0605,2.4937,452.0,1.7293,12.596369,24.377747,Claude Haiku 4.5,-0.422,1.470600000000001,-0.2274,1.5333,False,False,False
bace,kimik3,0.4228,0.4008,7.3394,25.0,109,8,2,473,clean,clean,0.1675,1.1365,0.0,0.4185,12.596369,24.377747,0.4228,0.4008,8.5106,25.0,94,8,2,473,clean,clean,0.3645,1.2682,458.5,13.3837,12.596369,24.377747,Kimi K3,0.0,0.0,0.19699999999999998,0.13169999999999993,False,False,False
bace,llama4mav,0.211,0.2,7.8125,20.0,64,5,1,474,clean,clean,0.1461,2.2613,0.0,0.0498,12.596369,24.377747,0.0,0.0,7.5,0.0,40,3,0,474,clean,clean,0.1833,2.5094,0.0,0.0585,12.596369,24.377747,Llama 4 Maverick,-0.211,-20.0,0.03719999999999998,0.2481,False,False,False
bace,luna,0.4219,0.4,8.1301,20.0,123,10,2,474,clean,clean,0.2985,1.0909,0.0,0.012,12.596369,24.377747,0.211,0.2,3.4091,33.3333,88,3,1,474,clean,clean,0.4334,1.4672,516.0,0.108,12.596369,24.377747,GPT-5.6 luna,-0.2109,13.333300000000001,0.13490000000000002,0.3763000000000001,False,False,False
bace,minimaxm3,0.4228,0.4008,10.7143,16.6667,112,12,2,473,clean,clean,0.1732,1.1535,0.0,0.8387,12.596369,24.377747,0.2119,0.2008,10.0719,7.1429,139,14,1,472,clean,clean,0.3109,1.007,3020.5,3.2113,12.596369,24.377747,MiniMax M3,-0.2109,-9.523799999999998,0.13770000000000002,-0.14650000000000007,False,False,False
bace,mistrall,0.6329,0.6,9.5238,30.0,105,10,3,474,clean,clean,0.2048,1.4782,0.0,0.0273,12.596369,24.377747,0.8439,0.8,7.2072,50.0,111,8,4,474,clean,clean,0.2289,1.5081,0.0,0.0267,12.596369,24.377747,Mistral Large 2512,0.21099999999999997,20.0,0.024099999999999983,0.029900000000000038,False,False,False
bace,opus5,0.0,0.0,10.0,0.0,150,15,0,474,clean,clean,0.586,0.7775,0.0,0.7828,12.596369,24.377747,1.4768,1.4,15.8537,26.9231,164,26,7,474,clean,clean,0.6425,0.6842,0.0,2.1418,12.596369,24.377747,Claude Opus 5,1.4768,26.9231,0.056499999999999995,-0.09329999999999994,False,False,False
bace,qwen3,0.0,0.0,6.8627,0.0,102,7,0,474,clean,clean,0.0364,1.1023,0.0,0.0126,12.596369,24.377747,0.4219,0.4,9.8039,20.0,102,10,2,474,clean,clean,0.1556,1.0833,0.0,0.0157,12.596369,24.377747,Qwen3-235B,0.4219,20.0,0.11919999999999999,-0.019000000000000128,False,False,False
bace,sol,1.6878,1.6,17.5573,34.7826,131,23,8,474,clean,clean,0.4264,0.9831,0.0,0.1164,12.596369,24.377747,0.8439,0.8,5.1948,100.0,77,4,4,474,clean,clean,0.4664,1.4171,957.0,7.4572,12.596369,24.377747,GPT-5.6 sol,-0.8439,65.2174,0.03999999999999998,0.43400000000000005,False,False,False
