dataset,tag,model,level,n_mol,n_calls,parsed,reasoning_med,reasoning_mean,cost,hit1,hit2,hit3,floor,p_hit,R23,m2,m3,n_usable,medae,spearman,selfcons
ppbr,gpt55,GPT-5.5,low,60,180,100.0,516.0,643.5167,1.8349,66.6667,10.5691,1.626,0.8309,0.5112,16.6667,12,2,123,2.89,0.3756,6.6667
ppbr,gpt55,GPT-5.5,medium,60,180,98.3333,4305.5,4200.4444,11.4384,65.5738,9.8361,1.6393,0.0,0.0005,16.6667,12,2,122,3.23,0.3573,6.6667
ppbr,opus5,Claude Opus 5,none,60,180,100.0,0.0,0.0,0.2449,49.0323,11.6129,1.9355,3.9,1.0,16.6667,18,3,155,4.045,0.6423,20.0
ppbr,opus5,Claude Opus 5,minimal,60,180,100.0,13.0,14.5889,0.3099,56.3025,18.4874,2.521,3.784,1.0,13.6364,22,3,119,4.39,0.6152,21.6667
ppbr,opus5,Claude Opus 5,low,60,180,100.0,12.0,13.7222,0.3064,55.7377,15.5738,1.6393,1.1131,0.3473,10.5263,19,2,122,4.08,0.6142,18.3333
ppbr,opus5,Claude Opus 5,medium,60,180,100.0,31.0,34.3111,0.3991,50.5155,13.4021,0.0,0.0,1.0,0.0,13,0,97,4.865,0.642,20.0
ppbr,opus5,Claude Opus 5,high,60,180,100.0,55.0,61.1389,0.5195,67.6768,19.1919,0.0,1.0101,1.0,0.0,19,0,99,5.65,0.621,18.3333
qm7,gem31flashlite,Gemini 3.1 Flash-Lite,none,60,180,100.0,0.0,0.0,0.0032,33.1461,8.9888,0.5618,0.5618,1.0,10.0,10,1,178,319.65,-0.0799,0.0
qm7,gem31flashlite,Gemini 3.1 Flash-Lite,minimal,60,180,100.0,0.0,0.0,0.0032,40.2235,12.2905,0.5587,1.1263,0.8736,5.2632,19,1,179,275.15,-0.0517,0.0
qm7,gem31flashlite,Gemini 3.1 Flash-Lite,low,60,175,100.0,133.0,141.2343,0.0219,50.5747,9.7701,1.1494,0.8575,0.4923,13.3333,15,2,174,247.23,0.2346,0.0
qm7,gem31flashlite,Gemini 3.1 Flash-Lite,medium,60,180,100.0,932.5,947.3167,0.1313,6.1111,2.2222,0.5556,0.0,0.0005,25.0,4,1,180,3038.385,-0.1295,0.0
qm7,gem31flashlite,Gemini 3.1 Flash-Lite,high,60,180,100.0,3815.0,3862.3389,0.5247,0.5556,0.0,0.0,0.0,1.0,,0,0,180,3150.71,-0.3743,0.0
qm7,gem35flash,Gemini 3.5 Flash,minimal,60,180,100.0,0.0,0.0,0.0209,28.3333,3.8889,0.5556,0.2742,0.4938,16.6667,6,1,180,370.115,0.153,0.0
qm7,gem35flash,Gemini 3.5 Flash,low,60,180,100.0,1575.5,1720.8389,1.4135,28.3333,5.0,0.0,0.2839,1.0,0.0,8,0,180,2696.1,-0.1473,0.0
qm7,gem35flash,Gemini 3.5 Flash,medium,60,180,100.0,9776.5,10479.7056,8.5146,40.2235,24.0223,2.7933,1.9575,0.2509,13.8889,36,5,179,648.81,0.0068,0.0
qm7,gem35flash,Gemini 3.5 Flash,high,58,180,100.0,17599.0,16051.0778,13.1335,61.0738,34.8993,8.0537,5.6544,0.026,25.5319,47,12,149,73.115,0.5836,3.7037
qm7,gem3flash,Gemini 3 Flash,none,60,180,100.0,0.0,0.0111,0.0072,0.0,0.0,0.0,0.0,1.0,,0,0,180,2725.8425,-0.6119,0.0
qm7,gem3flash,Gemini 3 Flash,minimal,60,180,100.0,0.0,0.0,0.0072,0.0,0.0,0.0,0.0,1.0,,0,0,180,2741.942,-0.5448,0.0
qm7,gem3flash,Gemini 3 Flash,low,60,180,100.0,975.5,1005.6444,0.2815,0.0,0.0,0.0,0.0,1.0,,0,0,180,2749.2351,-0.4694,0.0
qm7,gem3flash,Gemini 3 Flash,medium,60,180,100.0,4098.0,4159.4889,1.1315,1.1111,0.0,0.0,0.0,1.0,,0,0,180,2934.7345,-0.6578,0.0
qm7,gem3flash,Gemini 3 Flash,high,60,180,100.0,10158.0,10750.1722,2.9122,1.1173,0.0,0.0,0.0,1.0,,0,0,179,2917.892,-0.7147,1.6667
qm7,gpt55,GPT-5.5,none,60,180,100.0,0.0,0.0,0.0744,0.5556,0.5556,0.0,0.0,1.0,0.0,1,0,180,3136.635,-0.1924,0.0
qm7,gpt55,GPT-5.5,minimal,60,180,100.0,1034.0,1032.3,2.8669,8.3799,5.5866,0.0,0.5628,1.0,0.0,7,0,179,3046.38,-0.6925,1.6667
qm7,gpt55,GPT-5.5,low,60,180,100.0,1034.0,1016.6333,2.8245,6.1111,3.3333,0.5556,0.2867,0.5162,20.0,5,1,180,3047.29,-0.7632,3.3333
qm7,gpt55,GPT-5.5,medium,60,180,100.0,6732.0,6710.1556,18.1985,65.3631,50.838,18.9944,11.4492,0.0005,37.7778,90,34,179,18.655,0.2959,0.0
qm7,opus5,Claude Opus 5,none,60,180,100.0,0.0,0.0,0.1801,51.1111,13.8889,1.1111,1.3681,0.8696,11.1111,18,2,180,170.365,0.5753,0.0
qm7,opus5,Claude Opus 5,minimal,60,180,100.0,362.0,402.3611,1.991,72.7273,34.0909,3.4091,3.1412,0.5132,13.0435,46,6,176,72.625,0.6585,0.0
qm7,opus5,Claude Opus 5,low,60,180,100.0,371.0,395.2833,1.9598,77.7778,28.655,4.0936,2.6319,0.1049,16.6667,42,7,171,81.065,0.6444,0.0
qm7,opus5,Claude Opus 5,medium,60,180,100.0,676.5,752.1278,3.5685,80.3371,47.7528,7.8652,5.0556,0.0005,21.5385,65,14,178,48.65,0.8355,0.0
qm7,opus5,Claude Opus 5,high,60,180,98.8889,1380.0,1696.0556,7.7883,85.1429,53.1429,12.5714,8.8511,0.0005,27.1605,81,22,175,32.855,0.8783,0.0
qm8,gem31flashlite,Gemini 3.1 Flash-Lite,none,60,180,100.0,0.0,0.0,0.0038,69.4444,7.7778,0.5556,0.835,1.0,9.0909,11,1,180,0.0317,0.8562,0.0
qm8,gem31flashlite,Gemini 3.1 Flash-Lite,minimal,60,180,100.0,0.0,0.0,0.0038,72.2222,7.2222,0.5556,0.5583,0.7576,9.0909,11,1,180,0.0326,0.8678,1.6667
qm8,gem31flashlite,Gemini 3.1 Flash-Lite,low,41,122,100.0,141.0,141.041,0.0155,60.6557,13.1148,0.8197,0.0,0.0005,10.0,10,1,122,0.0314,0.776,0.0
qm8,gem31flashlite,Gemini 3.1 Flash-Lite,medium,60,180,100.0,667.0,693.7222,0.0976,71.1111,12.7778,1.1111,1.6767,1.0,10.0,20,2,180,0.0218,0.8814,0.0
qm8,gem31flashlite,Gemini 3.1 Flash-Lite,high,60,180,100.0,1935.0,2431.85,0.3322,73.3333,13.3333,0.0,1.6792,1.0,0.0,18,0,180,0.0251,0.8157,0.0
qm8,gem35flash,Gemini 3.5 Flash,minimal,60,180,100.0,0.0,0.0,0.0229,75.5556,6.6667,0.5556,0.8244,0.8726,12.5,8,1,180,0.0248,0.8839,0.0
qm8,gem35flash,Gemini 3.5 Flash,low,60,180,100.0,722.5,741.1722,0.6233,85.0,16.6667,1.1111,1.6475,0.93,7.4074,27,2,180,0.0157,0.9147,0.0
qm8,gem35flash,Gemini 3.5 Flash,medium,60,180,100.0,2541.0,2714.5,2.2216,78.3333,18.8889,0.5556,1.66,1.0,3.7037,27,1,180,0.014,0.9234,1.6667
qm8,gem35flash,Gemini 3.5 Flash,high,60,180,100.0,4641.5,4877.4056,3.9736,77.6536,16.7598,1.1173,1.6542,0.931,7.1429,28,2,179,0.0119,0.9212,5.0
qm8,gem3flash,Gemini 3 Flash,none,60,180,100.0,0.0,0.0,0.0077,78.8889,17.7778,1.1111,1.0972,0.4878,7.6923,26,2,180,0.023,0.898,0.0
qm8,gem3flash,Gemini 3 Flash,minimal,60,180,100.0,0.0,0.0,0.0077,76.1111,15.5556,0.0,1.3647,1.0,0.0,20,0,180,0.0195,0.885,3.3333
qm8,gem3flash,Gemini 3 Flash,low,60,180,100.0,704.5,736.3778,0.2092,76.6667,18.3333,1.6667,1.1067,0.2439,10.7143,28,3,180,0.0171,0.9048,0.0
qm8,gem3flash,Gemini 3 Flash,medium,60,180,100.0,2489.0,2616.1778,0.7146,80.0,13.8889,1.1111,0.5414,0.2374,10.0,20,2,180,0.0148,0.9356,0.0
qm8,gem3flash,Gemini 3 Flash,high,60,180,100.0,7895.5,8222.3389,2.2284,76.6667,17.2222,1.6667,1.3681,0.4848,10.7143,28,3,180,0.0158,0.9261,0.0
qm8,opus5,Claude Opus 5,none,60,180,100.0,0.0,0.0,0.2098,71.6667,15.0,1.6667,0.5728,0.0005,14.2857,21,3,180,0.0178,0.8713,0.0
qm8,opus5,Claude Opus 5,minimal,60,180,100.0,43.5,44.8333,0.4113,80.791,20.904,2.8249,0.5537,0.0005,15.1515,33,5,177,0.0127,0.9116,1.6667
qm8,opus5,Claude Opus 5,low,60,180,100.0,42.5,43.4444,0.405,85.1429,17.7143,2.2857,0.2843,0.0005,13.7931,29,4,175,0.0142,0.9117,1.6667
qm8,opus5,Claude Opus 5,medium,60,180,100.0,88.5,97.3444,0.6475,84.4828,22.9885,1.7241,1.4115,0.4803,8.3333,36,3,174,0.0117,0.9178,0.0
qm8,opus5,Claude Opus 5,high,60,180,100.0,143.0,161.6444,0.9369,84.7458,25.4237,2.2599,1.7034,0.3213,9.7561,41,4,177,0.0124,0.9106,1.6667
