dataset,dataset_name,ds_class,model,tag,vendor,arm,blocks,n_call,n_queried,trunc,reasoning,cost,think,n_pred,n_usable,n_mol,level,n_bins,mp_chance_hit,mp_p_hit,mp_chance_deep,mp_p_deep,rs_chance_hit,rs_p_hit,rs_chance_deep,rs_p_deep,rs_chance_hit3,rs_p_hit3,rs_chance_R23,rs_p_R23,pearson,spearman,rmse,medae,m1,m2,m3,h1,h2,h3,hit,hit_stat,deep,deep_stat,hit3,hit3_all,R12,R23,chance_hit,p_hit,chance_deep,p_deep,mb_chance_hit,mb_p_hit,mb_chance_deep,mb_p_deep,hit_lo,hit_hi,deep_lo,deep_hi,chance_hit3,p_hit3,chance_R12,p_R12,chance_R23,p_R23,mb_chance_hit3,mb_p_hit3,mb_chance_R12,mb_p_R12,mb_chance_R23,mb_p_R23,q_hit_joint,q_deep_joint,decided_at,q_hit_used,q_deep_used,regime,excess
ld50,LD50 (Zhu),measured,Gemini 3.6 Flash,gem36flash,Google,reg,1,500,500,0.0,minimal,0.0744,0.0,500,497,497,3,20,0.5061,0.1034,11.974,0.0955,0.7009,0.2699,14.1414,0.1404,0.7009,0.2699,14.1414,0.1404,0.4619,0.5055,0.9036,0.5975,196,23,5,196,25,5,1.006,hit3,21.7391,R23,1.006,1.0,11.7347,21.7391,0.3095,0.017,10.3047,0.0915,0.4947,0.084,11.5084,0.0695,0.4024,2.0121,7.1429,38.8889,0.3095,0.017,9.7068,0.2024,10.3047,0.0915,0.4947,0.084,10.788,0.2799,11.5084,0.0695,0.3204,0.2793,3,0.1913474320241692,0.16274223602484475,clean,2.0335556903173644
ld50,LD50 (Zhu),measured,Gemini 3.6 Flash,gem36flash,Google,t1024,2,500,500,0.0,max_tokens:1024,1.2846,541.0,481,478,478,3,20,2.651,0.0005,15.8489,0.0005,13.5101,0.0255,56.8109,0.0075,13.5101,0.0255,56.8109,0.0075,0.7737,0.7603,0.5815,0.285,295,119,81,295,121,83,16.9456,hit3,68.0672,R23,16.9456,16.8399,40.339,68.0672,0.3705,0.0005,10.7542,0.0005,2.0323,0.0005,12.4132,0.0005,13.8023,20.7113,58.997,76.1072,0.3705,0.0005,9.8286,0.0005,10.7542,0.0005,2.0323,0.0005,26.7555,0.0005,12.4132,0.0005,0.0018,0.0018,3,0.0015907172995780591,0.0015907172995780591,heavy,8.338139054273482
ld50,LD50 (Zhu),measured,Gemini 3 Flash,gem3flash,Google,reg,1,500,500,0.0,none,0.0255,0.0,500,497,497,3,20,0.5216,0.7376,9.4495,0.7031,0.393,0.5787,7.4881,0.5352,0.393,0.5787,7.4881,0.5352,0.5237,0.5359,0.8299,0.4985,236,30,2,236,32,2,0.4024,hit3,6.6667,R23,0.4024,0.4,12.7119,6.6667,0.3149,0.4568,9.5845,0.6242,0.5351,0.7471,9.7039,0.7181,0.0,1.006,0.0,16.6667,0.3149,0.4568,9.7925,0.1164,9.5845,0.6242,0.5351,0.7471,11.5826,0.1984,9.7039,0.7181,1.0,1.0,3,0.9159567479674797,0.9054304347826088,clean,0.7520089702859278
ld50,LD50 (Zhu),measured,Gemini 3 Flash,gem3flash,Google,t1024,2,500,500,0.0,max_tokens:1024,0.7189,904.5,500,497,497,3,20,2.5388,0.0005,16.591,0.0005,11.7914,0.039,52.9325,0.019,11.7914,0.039,52.9325,0.019,0.7264,0.7091,0.6276,0.268,316,115,72,316,115,74,14.4869,hit3,62.6087,R23,14.4869,14.4,36.3924,62.6087,0.4269,0.0005,11.0381,0.0005,2.0355,0.0005,13.5916,0.0005,11.4688,17.7062,53.3871,70.7699,0.4269,0.0005,10.5967,0.0005,11.0381,0.0005,2.0355,0.0005,24.131,0.0005,13.5916,0.0005,0.0018,0.0018,3,0.0015907172995780591,0.0015907172995780591,heavy,7.117121100466717
ld50,LD50 (Zhu),measured,GPT-4.1,gpt41,OpenAI,reg,1,500,500,0.0,none,0.1971,0.0,500,497,497,3,20,0.5563,0.2974,11.7721,0.1624,0.7091,0.4598,16.3093,0.3918,0.7091,0.4598,16.3093,0.3918,0.1432,0.1463,0.9298,0.559,195,22,4,195,24,4,0.8048,hit3,18.1818,R23,0.8048,0.8,11.2821,18.1818,0.3679,0.1109,8.1903,0.069,0.5325,0.2619,11.1797,0.1414,0.2012,1.6097,4.7619,36.0091,0.3679,0.1109,12.492,0.6882,8.1903,0.069,0.5325,0.2619,12.0543,0.7231,11.1797,0.1414,0.6472,0.4531,3,0.4701728571428572,0.29129945355191256,clean,1.5113615023474178
ld50,LD50 (Zhu),measured,GPT-4.1,gpt41,OpenAI,t1024,2,500,500,0.0,max_tokens:1024,0.1971,0.0,500,497,497,3,20,0.3983,0.6027,8.8578,0.3618,0.576,0.7786,15.0441,0.6987,0.576,0.7786,15.0441,0.6987,0.1945,0.1681,0.9108,0.5465,199,19,2,199,19,2,0.4024,hit3,10.5263,R23,0.4024,0.4,9.5477,10.5263,0.356,0.5342,8.086,0.3253,0.3939,0.6092,8.737,0.3458,0.0,1.006,0.0,26.6818,0.356,0.5342,12.2885,0.8836,8.086,0.3253,0.3939,0.6092,11.2858,0.8961,8.737,0.3458,0.9096,0.6472,3,0.8356947368421053,0.560716559139785,clean,1.0215790809850216
ld50,LD50 (Zhu),measured,GPT-5,gpt5,OpenAI,reg,1,500,500,0.0,minimal,0.2176,0.0,500,497,497,3,20,0.4845,0.2154,11.1611,0.076,0.7697,0.5257,18.231,0.3548,0.7697,0.5257,18.231,0.3548,0.2142,0.216,1.0649,0.5725,205,19,4,205,19,4,0.8048,hit3,21.0526,R23,0.8048,0.8,9.2683,21.0526,0.4238,0.1584,10.691,0.088,0.4642,0.1779,10.6023,0.0625,0.2012,1.6097,4.5455,40.0227,0.4238,0.1584,9.9992,0.6202,10.691,0.088,0.4642,0.1779,10.4096,0.8046,10.6023,0.0625,0.506,0.2614,3,0.34750414507772026,0.1496031746031746,clean,1.7337354588539422
ld50,LD50 (Zhu),measured,GPT-5,gpt5,OpenAI,t1024,2,500,500,0.0,low,6.0676,1088.0,500,497,497,3,20,1.0387,0.0005,13.2085,0.0005,3.4789,0.3678,34.0917,0.2399,3.4789,0.3678,34.0917,0.2399,0.5421,0.5482,0.8509,0.441,246,49,19,246,49,20,3.8229,hit3,38.7755,R23,3.8229,3.8,19.9187,38.7755,0.365,0.0005,10.1813,0.001,0.9099,0.0005,11.6657,0.0005,2.2082,5.6338,25.0,53.1989,0.365,0.0005,10.2597,0.0005,10.1813,0.001,0.9099,0.0005,16.0882,0.0075,11.6657,0.0005,0.0018,0.0018,3,0.0015907172995780591,0.0015907172995780591,heavy,4.201450708869107
ld50,LD50 (Zhu),measured,GPT-5.5,gpt55,OpenAI,reg,1,500,500,0.0,none,0.2776,0.0,500,497,497,3,20,0.5566,0.5332,10.9484,0.5422,0.6311,0.6142,10.8927,0.5467,0.6311,0.6142,10.8927,0.5467,0.456,0.4999,0.8814,0.4875,234,30,3,234,32,3,0.6036,hit3,10.0,R23,0.6036,0.6,12.8205,10.0,0.3614,0.2674,9.4839,0.4568,0.5595,0.5377,11.0891,0.5562,0.0,1.4085,0.0,21.4363,0.3614,0.2674,10.0859,0.1124,9.4839,0.4568,0.5595,0.5377,10.5965,0.0455,11.0891,0.5562,0.9218,0.9373,3,0.7592048507462685,0.778060853432282,clean,1.0788203753351207
ld50,LD50 (Zhu),measured,GPT-5.5,gpt55,OpenAI,t1024,2,500,500,0.0,low,5.5949,516.0,500,497,497,3,20,1.8908,0.0005,13.2086,0.0005,8.148,0.1004,46.7357,0.2499,8.148,0.1004,46.7357,0.2499,0.7621,0.7475,0.599,0.3005,301,97,49,301,99,50,9.8592,hit3,50.5155,R23,9.8592,9.8,32.2259,50.5155,0.3819,0.0005,10.5262,0.0005,1.5271,0.0005,10.8227,0.0005,7.4447,12.4748,40.4255,60.21,0.3819,0.0005,10.2902,0.0005,10.5262,0.0005,1.5271,0.0005,23.8727,0.0005,10.8227,0.0005,0.0018,0.0018,3,0.0015907172995780591,0.0015907172995780591,heavy,6.456158732237575
ld50,LD50 (Zhu),measured,Grok 4.3,grok43,xAI,reg,1,500,500,0.0,none,0.1077,0.0,500,497,497,3,20,0.4285,0.0125,12.2783,0.0055,0.6987,0.1429,18.2285,0.0425,0.6987,0.1429,18.2285,0.0425,-0.0491,0.0287,1.6041,0.756,176,17,6,176,18,6,1.2072,hit3,35.2941,R23,1.2072,1.2,9.6591,35.2941,0.3396,0.0065,10.7406,0.0075,0.4074,0.012,11.6441,0.0045,0.4024,2.4145,12.5,60.0,0.3396,0.0065,10.406,0.6137,10.7406,0.0075,0.4074,0.012,9.8429,0.5592,11.6441,0.0045,0.0655,0.0268,3,0.03231428571428571,0.012707865168539325,partial,2.963181148748159
ld50,LD50 (Zhu),measured,Grok 4.3,grok43,xAI,t1024,2,500,500,0.0,max_tokens:1024,3.0124,2060.0,499,496,496,3,20,1.0748,0.0005,15.1053,0.0005,6.0944,0.4823,52.5799,0.4603,6.0944,0.4823,52.5799,0.4603,0.036,0.2277,64.1729,1.085,157,58,31,157,60,32,6.25,hit3,53.4483,R23,6.25,6.2124,36.9427,53.4483,0.2146,0.0005,10.5996,0.002,0.8643,0.0005,12.4436,0.0005,4.2339,8.4677,40.7357,66.6667,0.2146,0.0005,10.5316,0.0005,10.5996,0.002,0.8643,0.0005,22.102,0.0005,12.4436,0.0005,0.0018,0.0018,3,0.0015907172995780591,0.0015907172995780591,heavy,7.231285433298623
ld50,LD50 (Zhu),measured,Grok 4.5,grok45,xAI,reg,1,500,500,0.0,low,1.5003,385.0,499,496,496,3,20,1.4246,0.0005,13.4335,0.0005,5.7168,0.1224,43.9998,0.072,5.7168,0.1224,43.9998,0.072,0.6385,0.629,0.6999,0.376,264,66,35,264,68,37,7.0565,hit3,53.0303,R23,7.0565,7.014,25.0,53.0303,0.4067,0.0005,9.9952,0.0005,1.1771,0.0005,11.2194,0.0005,4.8387,9.4758,39.6825,65.6762,0.4067,0.0005,10.5076,0.0005,9.9952,0.0005,1.1771,0.0005,19.6549,0.0005,11.2194,0.0005,0.0037,0.0037,3,0.0015907172995780591,0.0015907172995780591,heavy,5.994817772491716
